cups;data_anterior;data_mesura;tarifa;origen;mesura_baixa;periode;consum;lectura_anterior;lectura_actual
ES0031408010052001TL0F;2015-12-22;2016-01-22;2.0DHA;F1;N;P2;770;8905;9675
ES0031408010052001TL0F;2015-12-22;2016-01-22;2.0DHA;F1;N;P1;285;31629;31914
ES0031406229285001HS0F;2015-10-19;2015-10-22;2.0A;F1;N;P1;2118;168532;170650
ES0031406178012015XD0F;2015-10-19;2015-10-31;2.0A;F1;N;P1;5000;168532;170650
ES0031405550777003EK0F;2015-11-26;2016-01-28;2.0A;F1;N;P1;153;39959;40112
ES0031406229285001HS0F;2015-10-19;2016-01-29;2.0A;F1;N;P1;2118;168532;170650
ES0031406181134001WK0F;2015-12-01;2016-02-01;2.0A;F1;N;P1;616;60240;60856
ES0031300629986007HP0F;2015-11-21;2016-01-25;2.0A;F1;N;P1;337;0;337
ES0031406229369001JL0F;2015-11-26;2016-01-28;2.0A;F1;N;P1;539;57262;57801
ES0031406229285001HS0F;2015-08-18;2015-10-19;2.0A;F1;N;P1;742;167790;168532
ES0031300685838015AN0F;2015-12-29;2016-01-29;2.0A;F1;N;P1;40;949;989
ES0031405681397002QF0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;525;2421;2946
ES0031406245151001MV0F;2015-11-27;2016-01-27;2.0A;F1;N;P1;0;5382;5382
ES0031406178012015XD0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;55;563;618
ES0031406174543003VH0F;2015-11-25;2016-01-28;2.0A;F1;N;P1;914;52716;53630
ES0031405610623030BW0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;0;18;18
ES0031300682320007LS0F;2015-12-23;2016-01-25;2.0A;F1;N;P1;228;16261;16489
ES0031405992276008SL0F;2015-11-22;2016-01-25;2.0A;F1;N;P1;0;150639;150639
ES0031405989553003MF0F;2015-12-27;2016-01-28;2.0A;F1;N;P1;892;22383;23275
ES0031405988465017NJ0F;2015-12-24;2016-01-27;2.0A;F1;N;P1;258;15963;16221
ES0031408157547009JY0F;2015-12-30;2016-01-29;2.0A;F1;N;P1;0;78;78
ES0031300684350001YY0F;2016-01-04;2016-02-01;2.0A;F1;N;P1;347;40265;40612
ES0021000004348018DA;2015-12-21;2016-01-27;2.0A;F1;N;P1;339;2027;2366
ES0031405423277029MH0F;2015-12-28;2016-01-28;2.0A;F1;N;P1;292;1107;1399
ES0031405986132009FX0F;2015-12-29;2016-01-26;2.0A;F1;N;P1;993;29527;30520
ES0021000002636668FZ;2015-12-20;2016-01-24;2.0A;F1;N;P1;729;33312;34041
ES0031405425837012ND0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;510;14722;15232
ES0031300510445028DB0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;318;9386;9704
ES0031405971241007EJ0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;166;5313;5479
ES0031406205073001XT0F;2015-12-28;2016-01-26;2.0A;F1;N;P1;516;2409;2925
ES0031405428453016QQ0F;2016-01-18;2016-01-28;2.0A;F1;N;P1;336;14863;15199
ES0021000002636676FE;2015-12-20;2016-01-23;2.0A;F1;N;P1;226;11776;12002
ES0031406059994005TJ0F;2015-12-28;2016-01-26;2.0A;F1;N;P1;415;1904;2319
ES0031300561464020ZN0F;2016-01-08;2016-02-01;2.0A;F1;N;P1;277;31555;31832
